rowid,legislator_id,type,state,start,end,class,party,district,how,party_affiliations,url,caucus,address,phone,fax,contact_form,office,state_rank,rss_url,end-type
507,M000983,rep,VT,1801-12-07,1803-03-03,,Federalist,2,,,,,,,,,,,,
508,M000988,rep,NY,1801-12-07,1803-03-03,,Federalist,10,,,,,,,,,,,,
509,M001066,rep,PA,1789-03-04,1791-03-03,,,-1,,,,,,,,,,,,
510,M001066,rep,PA,1793-12-02,1795-03-03,,,-1,,,,,,,,,,,,
511,M001066,rep,PA,1799-12-02,1801-03-03,,Republican,4,,,,,,,,,,,,
512,M001066,sen,PA,1801-12-07,1801-12-31,3,Democratic Republican,,,,,,,,,,,,,
513,O000041,sen,NJ,1801-12-07,1803-03-03,1,Federalist,,,,,,,,,,,,,
514,O000060,sen,NH,1801-12-07,1805-03-03,2,Federalist,,,,,,,,,,,,,
515,P000190,rep,NH,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
516,P000231,rep,CT,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
517,R000093,rep,MA,1799-12-02,1801-03-03,,Federalist,10,,,,,,,,,,,,
518,R000093,rep,MA,1801-12-07,1803-03-03,,Federalist,10,,,,,,,,,,,,
519,R000553,rep,SC,1797-05-15,1799-03-03,,Federalist,2,,,,,,,,,,,,
520,R000553,rep,SC,1799-12-02,1801-03-03,,Federalist,2,,,,,,,,,,,,
521,R000553,rep,SC,1801-12-07,1803-03-03,,Federalist,2,,,,,,,,,,,,
522,S000312,rep,NH,1799-12-02,1801-03-03,,Federalist,-1,,,,,,,,,,,,
523,S000312,sen,NH,1801-12-07,1803-03-03,3,Federalist,,,,,,,,,,,,,
524,S000330,rep,MA,1797-05-15,1799-03-03,,Federalist,2,,,,,,,,,,,,
525,S000330,rep,MA,1799-12-02,1801-03-03,,Federalist,2,,,,,,,,,,,,
526,S000330,rep,MA,1801-12-07,1803-03-03,,Federalist,2,,,,,,,,,,,,
527,S000582,rep,MA,1801-12-07,1803-03-03,,Republican,6,,,,,,,,,,,,
528,S000752,rep,MD,1795-12-07,1797-03-03,,Republican,2,,,,,,,,,,,,
529,S000752,rep,MD,1797-05-15,1799-03-03,,Republican,2,,,,,,,,,,,,
530,S000752,rep,MD,1801-12-07,1803-03-03,,Republican,2,,,,,,,,,,,,
531,S000994,rep,VA,1801-12-07,1803-03-03,,Federalist,12,,,,,,,,,,,,
532,T000025,rep,GA,1799-12-02,1801-03-03,,Federalist,-1,,,,,,,,,,,,
533,T000025,rep,GA,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
534,T000273,rep,RI,1797-05-15,1799-03-03,,Federalist,-1,,,,,,,,,,,,
535,T000273,rep,RI,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
536,T000348,rep,CT,1793-12-02,1795-03-03,,Federalist,-1,,,,,,,,,,,,
537,T000348,rep,CT,1795-12-07,1796-10-13,,Federalist,-1,,,,,,,,,,,,
538,T000348,sen,CT,1796-10-13,1801-03-03,3,Federalist,,,,,,,,,,,,,
539,T000348,sen,CT,1801-12-07,1807-03-03,3,Federalist,,,,,,,,,,,,,
540,U000022,rep,NH,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
541,V000049,rep,NY,1801-12-07,1803-03-03,,Republican,6,,,,,,,,,,,,
542,W000046,rep,NY,1801-12-07,1803-03-03,,Federalist,9,,,,,,,,,,,,
543,W000534,rep,NC,1797-05-15,1799-03-03,,Republican,3,,,,,,,,,,,,
544,W000534,rep,NC,1799-12-02,1801-03-03,,Republican,3,,,,,,,,,,,,
545,W000534,rep,NC,1801-12-07,1803-03-03,,Republican,3,,,,,,,,,,,,
546,W000722,rep,PA,1799-12-02,1801-03-03,,Federalist,10,,,,,,,,,,,,
547,W000722,rep,PA,1801-12-07,1803-03-03,,Federalist,10,,,,,,,,,,,,
548,B001186,sen,SC,1789-03-04,1793-03-03,2,Democratic Republican,,,,,,,,,,,,,
549,B001186,sen,SC,1793-12-02,1797-03-03,2,Republican,,,,,,,,,,,,,
550,B001186,sen,SC,1802-01-01,1805-03-03,3,Republican,,,,,,,,,,,,,
551,C000525,sen,NY,1802-01-01,1803-12-31,3,Republican,,,,,,,,,,,,,
552,P000393,sen,NH,1802-01-01,1807-03-03,3,Federalist,,,,,,,,,,,,,
553,B000049,rep,NY,1793-12-02,1795-03-03,,,5,,,,,,,,,,,,
554,B000049,rep,NY,1795-12-07,1797-03-03,,Republican,5,,,,,,,,,,,,
555,B000049,rep,NY,1799-12-02,1801-03-03,,Republican,5,,,,,,,,,,,,
556,B000049,rep,NY,1801-12-07,1803-03-03,,Republican,5,,,,,,,,,,,,
557,B000049,sen,NY,1803-10-17,1805-03-03,1,Republican,,,,,,,,,,,,,
558,B000097,rep,CT,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
559,B000697,rep,MD,1801-12-07,1803-03-03,,Republican,2,,,,,,,,,,,,
560,B000697,rep,MD,1803-10-17,1805-03-03,,Republican,2,,,,,,,,,,,,
561,B000970,rep,MA,1803-10-17,1805-03-03,,Federalist,17,,,,,,,,,,,,
562,C000406,rep,VA,1793-12-02,1795-03-03,,Republican,8,,,,,,,,,,,,
563,C000406,rep,VA,1795-12-07,1797-03-03,,Republican,8,,,,,,,,,,,,
564,C000406,rep,VA,1797-05-15,1799-03-03,,Republican,8,,,,,,,,,,,,
565,C000406,rep,VA,1801-12-07,1803-03-03,,Republican,8,,,,,,,,,,,,
566,C000406,rep,VA,1803-10-17,1805-03-03,,Republican,17,,,,,,,,,,,,
567,C001026,rep,MA,1801-12-07,1803-03-03,,Federalist,11,,,,,,,,,,,,
568,C001026,rep,MA,1803-10-17,1805-03-03,,Federalist,3,,,,,,,,,,,,
569,D000243,rep,MD,1797-05-15,1799-03-03,,Federalist,8,,,,,,,,,,,,
570,D000243,rep,MD,1799-12-02,1801-03-03,,Federalist,8,,,,,,,,,,,,
571,D000243,rep,MD,1801-12-07,1803-03-03,,Federalist,8,,,,,,,,,,,,
572,D000243,rep,MD,1803-10-17,1805-03-03,,Federalist,8,,,,,,,,,,,,
573,D000583,rep,MA,1803-10-17,1805-03-03,,Federalist,5,,,,,,,,,,,,
574,E000008,rep,SC,1803-10-17,1805-03-03,,Republican,8,,,,,,,,,,,,
575,G000196,rep,NC,1793-12-02,1795-03-03,,Anti-Administration,6,,,,,,,,,,,,
576,G000196,rep,NC,1795-12-07,1797-03-03,,Republican,6,,,,,,,,,,,,
577,G000196,rep,NC,1797-05-15,1799-03-03,,Republican,6,,,,,,,,,,,,
578,G000196,rep,NC,1803-10-17,1805-03-03,,Republican,5,,,,,,,,,,,,
579,G000467,rep,VA,1803-10-17,1805-03-03,,Federalist,12,,,,,,,,,,,,
580,G000482,rep,NY,1803-10-17,1805-03-03,,Federalist,15,,,,,,,,,,,,
581,H000133,rep,GA,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
582,H000140,rep,SC,1795-12-07,1797-03-03,,Republican,2,,,,,,,,,,,,
583,H000140,rep,SC,1803-10-17,1805-03-03,,Republican,4,,,,,,,,,,,,
584,H000570,rep,PA,1789-03-04,1791-03-03,,Republican,-1,,,,,,,,,,,,
585,H000570,rep,PA,1791-10-24,1793-03-03,,Republican,4,,,,,,,,,,,,
586,H000570,rep,PA,1793-12-02,1795-03-03,,Republican,-1,,,,,,,,,,,,
587,H000570,rep,PA,1795-12-07,1797-03-03,,Republican,5,,,,,,,,,,,,
588,H000570,rep,MD,1801-12-07,1803-03-03,,Republican,4,,,,,,,,,,,,
589,H000570,rep,MD,1803-10-17,1805-03-03,,Republican,4,,,,,,,,,,,,
590,H000695,rep,PA,1803-10-17,1805-03-03,,Republican,10,,,,,,,,,,,,
591,H000976,rep,NH,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
592,H000976,rep,NH,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
593,L000097,rep,MA,1803-10-17,1805-03-03,,Republican,12,,,,,,,,,,,,
594,L000294,rep,VA,1803-10-17,1805-03-03,,Federalist,5,,,,,,,,,,,,
595,L000482,rep,SC,1801-12-07,1803-03-03,,Federalist,1,,,,,,,,,,,,
596,L000482,rep,SC,1803-10-17,1805-03-03,,Federalist,1,,,,,,,,,,,,
597,M000029,rep,PA,1795-12-07,1797-03-03,,Republican,6,,,,,,,,,,,,
598,M000029,sen,PA,1803-10-17,1809-03-03,1,Republican,,,,,,,,,,,,,
599,M000359,rep,NY,1803-10-17,1805-03-03,,Republican,5,,,,,,,,,,,,
600,M000824,rep,MA,1803-10-17,1805-03-03,,Federalist,7,,,,,,,,,,,,
601,M001039,rep,NJ,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
602,M001039,rep,NJ,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
603,P000036,rep,NY,1803-10-17,1805-03-03,,Republican,11,,,,,,,,,,,,
604,P000101,rep,NY,1803-10-17,1805-03-03,,Republican,16,,,,,,,,,,,,
605,P000298,rep,NY,1803-10-17,1805-03-03,,Republican,17,,,,,,,,,,,,
606,P000378,rep,MD,1801-12-07,1803-03-03,,Federalist,3,,,,,,,,,,,,
607,P000378,rep,MD,1803-10-17,1805-03-03,,Federalist,3,,,,,,,,,,,,
608,P000468,sen,RI,1803-10-17,1805-03-03,1,Republican,,,,,,,,,,,,,
609,P000577,rep,NC,1803-10-17,1805-03-03,,Federalist,7,,,,,,,,,,,,
610,S000471,rep,MA,1795-12-07,1797-03-03,,Republican,1,,,,,,,,,,,,
611,S000471,rep,MA,1797-05-15,1799-03-03,,Republican,1,,,,,,,,,,,,
612,S000471,rep,MA,1803-10-17,1805-03-03,,Republican,12,,,,,,,,,,,,
613,S000557,rep,VT,1791-10-24,1793-03-03,,Democratic Republican,1,,,,,,,,,,,,
614,S000557,rep,VT,1793-12-02,1795-03-03,,Democratic Republican,1,,,,,,,,,,,,
615,S000557,rep,VT,1795-12-07,1797-03-03,,Republican,1,,,,,,,,,,,,
616,S000557,rep,VT,1801-12-07,1803-03-03,,Republican,1,,,,,,,,,,,,
617,S000557,sen,VT,1803-10-17,1807-12-31,1,Republican,,,,,,,,,,,,,
618,S000567,sen,OH,1803-10-17,1809-03-03,1,Republican,,,,,,,,,,,,,
619,S000912,rep,PA,1799-12-02,1801-03-03,,Republican,8,,,,,,,,,,,,
620,S000912,rep,PA,1801-12-07,1803-03-03,,Republican,8,,,,,,,,,,,,
621,S000912,rep,PA,1803-10-17,1805-03-03,,Republican,6,,,,,,,,,,,,
622,T000143,rep,MA,1801-12-07,1803-03-03,,Federalist,12,,,,,,,,,,,,
623,T000143,rep,MA,1803-10-17,1805-03-03,,Federalist,16,,,,,,,,,,,,
624,T000262,rep,NY,1803-10-17,1805-03-03,,Federalist,10,,,,,,,,,,,,
625,T000370,rep,VA,1797-05-15,1799-03-03,,Republican,5,,,,,,,,,,,,
626,T000370,rep,VA,1799-12-02,1801-03-03,,Republican,5,,,,,,,,,,,,
627,T000370,rep,VA,1801-12-07,1803-03-03,,Republican,5,,,,,,,,,,,,
628,T000370,rep,VA,1803-10-17,1805-03-03,,Republican,13,,,,,,,,,,,,
629,V000045,rep,PA,1801-12-07,1803-03-03,,Republican,4,,,,,,,,,,,,
630,V000045,rep,PA,1803-10-17,1805-03-03,,Republican,2,,,,,,,,,,,,
631,V000083,rep,VA,1791-10-24,1793-03-03,,Democratic Republican,6,,,,,,,,,,,,
632,V000083,rep,VA,1793-12-02,1795-03-03,,Democratic Republican,7,,,,,,,,,,,,
633,V000083,rep,VA,1795-12-07,1797-03-03,,Republican,7,,,,,,,,,,,,
634,V000083,rep,VA,1797-05-15,1799-03-03,,Republican,7,,,,,,,,,,,,
635,V000083,sen,VA,1803-10-17,1805-03-03,1,Republican,,,,,,,,,,,,,
636,W000392,sen,DE,1801-12-07,1803-03-03,1,Federalist,,,,,,,,,,,,,
637,W000392,sen,DE,1803-10-17,1809-03-03,1,Federalist,,,,,,,,,,,,,
638,W000526,rep,MA,1799-12-02,1801-03-03,,Federalist,5,,,,,,,,,,,,
639,W000526,rep,MA,1801-12-07,1803-03-03,,Federalist,5,,,,,,,,,,,,
640,W000526,rep,MA,1803-10-17,1805-03-03,,Federalist,8,,,,,,,,,,,,
641,A000282,sen,NY,1800-11-06,1801-03-03,3,Republican,,,,,,,,,,,,,
642,A000282,sen,NY,1801-03-04,1802-02-05,3,Republican,,,,,,,,,,,,,
643,A000282,sen,NY,1804-02-25,1804-06-30,1,Republican,,,,,,,,,,,,,
644,H000870,sen,RI,1804-01-01,1809-03-03,1,Republican,,,,,,,,,,,,,
645,M000891,rep,VA,1789-03-04,1791-03-03,,Democratic Republican,3,,,,,,,,,,,,
646,M000891,rep,VA,1791-10-24,1793-03-03,,Democratic Republican,3,,,,,,,,,,,,
647,M000891,rep,VA,1793-12-02,1795-03-03,,Democratic Republican,2,,,,,,,,,,,,
648,M000891,rep,VA,1795-12-07,1797-03-03,,Republican,2,,,,,,,,,,,,
649,M000891,sen,VA,1804-01-01,1809-03-03,1,Republican,,,,,,,,,,,,,
650,A000100,rep,NC,1803-03-04,1805-03-03,,Republican,10,,,,,,,,,,,,
651,A000191,rep,PA,1803-10-17,1805-03-03,,Republican,3,,,,,,,,,,,,
652,A000191,rep,PA,1805-12-02,1807-03-03,,Republican,3,,,,,,,,,,,,
653,A000272,rep,MD,1801-12-07,1803-03-03,,Republican,6,,,,,,,,,,,,
654,A000272,rep,MD,1803-10-17,1805-03-03,,Republican,6,,,,,,,,,,,,
655,A000272,rep,MD,1805-12-02,1807-03-03,,Republican,6,,,,,,,,,,,,
656,B000084,rep,GA,1789-03-04,1791-03-03,,Democratic Republican,2,,,,,,,,,,,,
657,B000084,rep,GA,1791-10-24,1793-03-03,,Democratic Republican,2,,,,,,,,,,,,
658,B000084,rep,GA,1793-12-02,1795-03-03,,Democratic Republican,0,,,,,,,,,,,,
659,B000084,rep,GA,1795-12-07,1797-03-03,,Republican,0,,,,,,,,,,,,
660,B000084,rep,GA,1797-05-15,1799-03-03,,Republican,-1,,,,,,,,,,,,
661,B000084,sen,GA,1799-12-02,1805-03-03,2,Republican,,,,,,,,,,,,,
662,B000084,sen,GA,1805-12-02,1807-03-04,2,Republican,,,,,,,,,,,,,
663,B000301,rep,KY,1803-10-17,1805-03-03,,Republican,6,,,,,,,,,,,,
664,B000301,rep,KY,1805-12-02,1807-03-03,,Republican,6,,,,,,,,,,,,
665,B000425,rep,NH,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
666,B000425,rep,NH,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
667,B000488,rep,MA,1799-12-02,1801-03-03,,Republican,7,,,,,,,,,,,,
668,B000488,rep,MA,1801-12-07,1803-03-03,,Republican,7,,,,,,,,,,,,
669,B000488,rep,MA,1803-10-17,1805-03-03,,Republican,9,,,,,,,,,,,,
670,B000488,rep,MA,1805-12-02,1807-03-03,,Republican,9,,,,,,,,,,,,
671,B000989,rep,GA,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
672,B000989,rep,GA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
673,C000226,rep,SC,1803-10-17,1805-03-03,,Republican,6,,,,,,,,,,,,
674,C000226,rep,SC,1805-12-02,1807-03-03,,Republican,6,,,,,,,,,,,,
675,C000424,rep,VA,1803-10-17,1805-03-03,,Republican,13,,,,,,,,,,,,
676,C000424,rep,VA,1805-12-02,1807-03-03,,Republican,13,,,,,,,,,,,,
677,C000704,rep,PA,1803-10-17,1805-03-03,,Republican,2,,,,,,,,,,,,
678,C000704,rep,PA,1805-12-02,1807-03-03,,Republican,2,,,,,,,,,,,,
679,C000817,rep,MD,1805-12-02,1807-03-03,,Republican,2,,,,,,,,,,,,
680,D000333,rep,TN,1801-12-07,1803-03-03,,Republican,1,,,,,,,,,,,,
681,D000333,rep,TN,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
682,D000333,rep,TN,1805-12-02,1807-03-03,,Republican,3,,,,,,,,,,,,
683,D000582,rep,CT,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
684,E000014,rep,GA,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
685,E000014,rep,GA,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
686,E000014,rep,GA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
687,E000130,rep,NH,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
688,E000154,rep,NJ,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
689,E000154,rep,NJ,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
690,E000154,rep,NJ,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
691,F000074,sen,RI,1805-12-02,1807-12-31,2,Republican,,,,,,,,,,,,,
692,F000322,rep,KY,1797-05-15,1799-03-03,,Republican,2,,,,,,,,,,,,
693,F000322,rep,KY,1799-12-02,1801-03-03,,Republican,2,,,,,,,,,,,,
694,F000322,rep,KY,1801-12-07,1803-03-03,,Republican,2,,,,,,,,,,,,
695,F000322,rep,KY,1803-10-17,1805-03-03,,Republican,5,,,,,,,,,,,,
696,F000322,rep,KY,1805-12-02,1807-03-03,,Republican,5,,,,,,,,,,,,
697,G000248,rep,CT,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
698,G000248,rep,CT,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
699,G000248,rep,CT,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
700,G000488,rep,CT,1795-12-07,1797-03-03,,Federalist,-1,,,,,,,,,,,,
701,G000488,rep,CT,1797-05-15,1799-03-03,,Federalist,-1,,,,,,,,,,,,
702,G000488,rep,CT,1799-12-02,1801-03-03,,Federalist,-1,,,,,,,,,,,,
703,G000488,rep,CT,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
704,G000488,rep,CT,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
705,G000488,rep,CT,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
706,H000090,rep,NY,1805-12-02,1807-03-03,,Republican,17,,,,,,,,,,,,
707,H000111,rep,PA,1805-12-02,1807-03-03,,Republican,10,,,,,,,,,,,,
708,H000161,rep,PA,1797-05-15,1799-03-03,,Republican,6,,,,,,,,,,,,
709,H000161,rep,PA,1799-12-02,1801-03-03,,Republican,6,,,,,,,,,,,,
710,H000161,rep,PA,1801-12-07,1803-03-03,,Republican,6,,,,,,,,,,,,
711,H000161,rep,PA,1803-10-17,1805-03-03,,Republican,4,,,,,,,,,,,,
712,H000161,rep,PA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
713,H000331,rep,MA,1801-12-07,1803-03-03,,Federalist,4,,,,,,,,,,,,
714,H000331,rep,MA,1803-10-17,1805-03-03,,Federalist,10,,,,,,,,,,,,
715,H000331,rep,MA,1805-12-02,1807-03-03,,Federalist,10,,,,,,,,,,,,
716,H000811,rep,NH,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
717,H000811,rep,NH,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
718,K000246,rep,NJ,1791-10-24,1793-03-03,,Democratic Republican,-1,,,,,,,,,,,,
719,K000246,rep,NJ,1793-12-02,1795-03-03,,Democratic Republican,-1,,,,,,,,,,,,
720,K000246,rep,NJ,1795-12-07,1797-03-03,,Federalist,-1,,,,,,,,,,,,
721,K000246,rep,NJ,1799-12-02,1801-03-03,,Republican,2,,,,,,,,,,,,
722,K000246,sen,NJ,1805-12-02,1809-12-31,2,Republican,,,,,,,,,,,,,
723,L000367,rep,NY,1803-10-17,1805-03-03,,Federalist,8,,,,,,,,,,,,
724,L000367,rep,NY,1805-12-02,1807-03-03,,Federalist,8,,,,,,,,,,,,
725,L000478,rep,PA,1805-12-02,1807-03-03,,Republican,3,,,,,,,,,,,,
726,L000492,rep,PA,1803-10-17,1805-03-03,,Republican,11,,,,,,,,,,,,
727,L000492,rep,PA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
728,M000057,rep,MD,1805-12-02,1807-03-03,,Republican,3,,,,,,,,,,,,
729,M000437,rep,NC,1805-12-02,1807-03-03,,Republican,7,,,,,,,,,,,,
730,M000614,rep,GA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
731,M000649,rep,GA,1801-12-07,1803-03-03,,Republican,-1,,,,,,,,,,,,
732,M000649,rep,GA,1803-10-17,1805-03-03,,Republican,-1,,,,,,,,,,,,
733,M000649,rep,GA,1805-12-02,1807-03-03,,Republican,-1,,,,,,,,,,,,
734,N000100,rep,MD,1799-12-02,1801-03-03,,Republican,7,,,,,,,,,,,,
735,N000100,rep,MD,1801-12-07,1803-03-03,,Republican,7,,,,,,,,,,,,
736,N000100,rep,MD,1803-10-17,1805-03-03,,Republican,7,,,,,,,,,,,,
737,N000100,rep,MD,1805-12-02,1807-03-03,,Republican,7,,,,,,,,,,,,
738,O000067,rep,VT,1803-10-17,1805-03-03,,Republican,1,,,,,,,,,,,,
739,O000067,rep,VT,1805-12-02,1807-03-03,,Republican,1,,,,,,,,,,,,
740,R000051,rep,VA,1803-10-17,1805-03-03,,Republican,21,,,,,,,,,,,,
741,R000051,rep,VA,1805-12-02,1807-03-03,,Republican,21,,,,,,,,,,,,
742,S000015,rep,NY,1805-12-02,1807-03-03,,Republican,11,,,,,,,,,,,,
743,S000041,rep,KY,1803-10-17,1805-03-03,,Republican,4,,,,,,,,,,,,
744,S000041,rep,KY,1805-12-02,1807-03-03,,Republican,4,,,,,,,,,,,,
745,S000149,rep,NY,1805-12-02,1807-03-03,,Republican,7,,,,,,,,,,,,
746,S000524,sen,TN,1798-01-01,1799-12-31,1,Republican,,,,,,,,,,,,,
747,S000524,sen,TN,1805-12-02,1809-12-31,2,Republican,,,,,,,,,,,,,
748,S000570,rep,CT,1799-12-02,1801-03-03,,Federalist,-1,,,,,,,,,,,,
749,S000570,rep,CT,1801-12-07,1803-03-03,,Federalist,-1,,,,,,,,,,,,
750,S000570,rep,CT,1803-10-17,1805-03-03,,Federalist,-1,,,,,,,,,,,,
751,S000570,rep,CT,1805-12-02,1807-03-03,,Federalist,-1,,,,,,,,,,,,
